"","Full","Stem","Index","Min","Max","Total","Keep","Root_Index"
"101","painted","paint",103,0,55,1855,1,NA
"103","new","new",105,1,189,6852,1,NA
"104","light","light",106,1,144,4295,1,NA
"106","storage","storag",108,0,93,2698,1,NA
"109","updated","updat",111,0,156,5282,1,NA
"110","georgetown","georgetown",112,0,5,58,1,NA
"115","original","origin",117,0,61,1571,1,NA
"116","character","charact",118,0,15,314,1,NA
"117","details","detail",119,0,41,1295,1,NA
"119","picture","pictur",121,0,17,553,1,NA
"120","rail","rail",122,0,37,806,1,NA
"121","molding","mold",123,0,18,503,1,NA
"122","knobs","knob",124,0,4,75,1,NA
"123","fir","fir",125,0,27,632,1,NA
"124","floors","floor",126,0,339,10564,1,NA
"129","fall","fall",131,0,9,129,1,NA
"136","huge","huge",138,0,67,1916,1,NA
"138","fenced","fenc",140,0,82,2590,1,NA
"139","outdoor","outdoor",141,0,37,927,1,NA
"140","play","plai",142,0,17,560,1,NA
"142","paned","pane",144,0,26,655,1,NA
"143","electric","electr",145,0,35,1126,1,NA
"144","plumbing","plumb",146,0,45,1400,1,NA
"147","wine","wine",149,0,11,307,1,NA
"148","cellar","cellar",150,0,8,168,1,NA
"149","detached","detach",151,0,43,1288,1,NA
"150","office","offic",152,0,52,1802,1,NA
"151","music","music",153,0,3,34,1,NA
"152","art","art",154,0,11,287,1,NA
"153","studio","studio",155,0,19,503,1,NA
"156","remodeled","remodel",158,0,86,3083,1,NA
"157","lot","lot",160,0,132,3767,1,NA
"158","natural","natur",161,0,37,1123,1,NA
"159","sw","sw",162,0,6,100,1,1461
"160","located","locat",163,0,134,4078,1,NA
"161","n","n",164,0,5,87,1,539
"162","beacon","beacon",165,0,24,309,1,NA
"163","hill","hill",166,0,45,1023,1,NA
"167","access","access",170,0,85,2683,1,NA
"168","bus","bu",171,0,37,781,1,NA
"169","shops","shop",172,0,84,2918,1,NA
"170","grocery","groceri",173,0,8,162,1,NA
"171","parks","park",174,0,209,5172,1,NA
"172","hospital","hospit",175,0,7,115,1,NA
"174","backyard","backyard",177,0,83,2315,1,NA
"175","basement","basement",178,0,84,2685,1,NA
"176","rents","rent",179,0,11,120,1,181
"178","rental","rental",181,0,12,158,1,NA
"179","sites","site",182,0,14,427,1,NA
"181","roof","roof",185,0,59,1993,1,NA
"183","crown","crown",187,0,12,380,1,NA
"184","doors","door",188,0,67,2310,1,NA
"185","fix","fix",189,0,2,23,1,NA
"188","refinished","refinish",192,0,31,743,1,NA
"189","hrdwds","hrdwd",193,0,6,134,1,101
"190","french","french",194,0,41,1259,1,NA
"192","landscaping","landscap",196,0,55,1638,1,NA
"193","near","near",197,0,24,643,1,NA
"196","neighborhood","neighborhood",201,0,71,1904,1,NA
"199","oak","oak",204,0,34,909,1,NA
"200","carpet","carpet",205,0,32,1011,1,NA
"201","area","area",206,0,96,3141,1,NA
"202","gas","ga",207,0,92,2830,1,NA
"205","garden","garden",210,0,95,2818,1,NA
"206","views","view",211,1,212,5654,1,NA
"207","city","citi",212,0,49,1496,1,NA
"208","mt","mt",213,0,19,615,1,NA
"209","rainier","rainier",214,0,27,513,1,NA
"211","separate","separ",216,0,36,887,1,NA
"212","daylight","daylight",217,0,24,617,1,NA
"213","income","incom",219,0,7,114,1,NA
"214","potential","potenti",220,0,48,1021,1,NA
"215","car","car",221,0,112,3070,1,NA
"216","garage","garag",222,0,149,4722,1,NA
"217","story","stori",224,0,20,608,1,NA
"218","house","hous",225,0,36,1323,1,NA
"219","main","main",227,0,144,4204,1,NA
"220","level","level",228,0,224,5816,1,NA
"222","eating","eat",230,0,45,1572,1,NA
"223","slider","slider",231,0,11,209,1,NA
"224","covered","cover",232,0,42,1028,1,NA
"226","boeing","boe",234,0,4,31,1,NA
"231","two","two",239,0,73,2149,1,NA
"232","unfinished","unfinish",240,0,25,585,1,NA
"234","fruit","fruit",242,0,12,366,1,NA
"235","trees","tree",243,0,35,1027,1,NA
"236","carport","carport",244,0,15,321,1,NA
"237","value","valu",245,0,9,203,1,NA
"238","land","land",246,0,6,113,1,NA
"239","freeways","freewai",247,0,17,377,1,NA
"242","end","end",250,0,25,740,1,NA
"243","setting","set",251,0,35,845,1,NA
"245","minutes","minut",253,0,40,955,1,NA
"248","seattle","seattl",256,0,98,2082,1,NA
"249","blend","blend",257,0,10,255,1,NA
"250","quality","qualiti",258,0,22,508,1,NA
"251","design","design",259,0,56,1473,1,NA
"253","ceilings","ceil",261,0,102,3485,1,NA
"254","maple","mapl",262,0,14,520,1,NA
"255","granite","granit",263,0,61,1770,1,NA
